series,episode,baker_first_name,baker_last_name,baker_age,baker_occupation,hometown,technical,result,signature_bake,show_stopper
1,2,Lea,Harris,51,Retired,"Midlothian, Scotland",NA,NA,NA,NA
1,2,Mark,Whithers,48,Bus Driver,South Wales,NA,NA,NA,NA
1,3,David,Chambers,31,Entrepreneur,Milton Keynes,4,stayed in,Chilli Bread,"Walnut and Seed Roll
Red Berry and Almond Bun"
1,3,Edd,Kimber,24,Debt collector for Yorkshire Bank,Bradford,1,stayed in,Olive Bread,Tomato and Mozzarella
1,3,Jasminder,Randhawa,45,Assistant Credit Control Manager,Birmingham,5,stayed in,Focaccia,"Mango and Sultana Buns
Pan au Chocolat with Mars Bars
Tutti Frutti Wheel with Jelly Tots"
1,3,Miranda,Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",3,stayed in,Walnut and Apricot Bread,"Lemon Iced Buns
Chocolate and Orange Buns"
1,3,Ruth,Clemens,31,Retail manager/Housewife,"Poynton, Cheshire",2,stayed in,Maple and Pecan Bread,"Chocolate and Orange Panettone
Cranberry Bagels"
1,3,Jonathan,Shepherd,25,Research Analyst,St Albans,6,Eliminated,"Anchovy, Sweet Paprika and Oregano Bread","Sticky Lemon Honey Bun
Olive and Anchovy Roll
Sundried Tomatoes and Fresh Herbs Roll
Stilton, Walnut and Apple Roll
Cinnamon and Cardamom Chelsea Bun"
1,3,Annetha,Mills,30,Midwife,Essex,NA,NA,NA,NA
1,3,Lea,Harris,51,Retired,"Midlothian, Scotland",NA,NA,NA,NA
1,3,Louise,Brimelow,44,Police Officer,Manchester,NA,NA,NA,NA
1,3,Mark,Whithers,48,Bus Driver,South Wales,NA,NA,NA,NA
1,4,Edd,Kimber,24,Debt collector for Yorkshire Bank,Bradford,3,stayed in,Apple and Plum Pudding,"Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer"
1,4,Jasminder,Randhawa,45,Assistant Credit Control Manager,Birmingham,2,stayed in,Sticky Toffee Pudding with Tropical Fruit & Toffee Sauce,"Bread & Butter Pudding, Treacle Suet Pudding with Fresh Fruit, Apple and Pineapple Crumble"
1,4,Miranda,Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",1,stayed in,Sticky Toffee Pudding,"Queen of Puddings, Chocolate Pear Roly Poly, Strawberry and Rhubarb Crumble"
1,4,Ruth,Clemens,31,Retail manager/Housewife,"Poynton, Cheshire",4,stayed in,Peach and Blueberry Boy Bait,"Apple & Ginger Crumble, Rhubarb Suet Crust, Cherry Queen of Puddings"
1,4,David,Chambers,31,Entrepreneur,Milton Keynes,5,Eliminated,Pear and Walnut Pudding,"Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear"
1,4,Annetha,Mills,30,Midwife,Essex,NA,NA,NA,NA
1,4,Jonathan,Shepherd,25,Research Analyst,St Albans,NA,NA,NA,NA
1,4,Lea,Harris,51,Retired,"Midlothian, Scotland",NA,NA,NA,NA
1,4,Louise,Brimelow,44,Police Officer,Manchester,NA,NA,NA,NA
1,4,Mark,Whithers,48,Bus Driver,South Wales,NA,NA,NA,NA
1,5,Edd,Kimber,24,Debt collector for Yorkshire Bank,Bradford,2,stayed in,"Chicken, Ham, Leek and Tarragon Pie","Almond Sweet Pastry with Ginger and Chocolate  Raspberry Tart / Yorkshire Curd Tart  Chickpea and Salami, Red and Yellow Pepper, Asparagus Gruyere Quiche Canapés"
1,5,Miranda,Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",1,stayed in,"Summery Salmon, Cod and Prawn Fish Pie","Chocolate Pastry filled with Orange Cheesecake  Chocolate Pastry filled with Milk Chocolate Ganche  Strawberry Tart with Red Currant Glaze  Cheesy Crab, Broad Bean and Tomato, Pancetta Risotto Canapés"
1,5,Ruth,Clemens,31,Retail manager/Housewife,"Poynton, Cheshire",3,stayed in,Minced Beef Pie,"Raspberry and Dark Chocolate Tart  Creme Patisserie and Cherry Tart  Citrus Curd Tart with Creme Brulee top  Tomato, Asparagus Twirl Canapés"
1,5,Jasminder,Randhawa,45,Assistant Credit Control Manager,Birmingham,4,Eliminated,Chicken and Mushroom Pie,"Jaggery, Carrot, and Spiced Condensed Milk Tart  Fruit and Custard Tart  Thai Chili Red Onion, Duck in Plum Sauce, Salmon and Prawn Canapés"
1,5,Annetha,Mills,30,Midwife,Essex,NA,NA,NA,NA
1,5,David,Chambers,31,Entrepreneur,Milton Keynes,NA,NA,NA,NA
1,5,Jonathan,Shepherd,25,Research Analyst,St Albans,NA,NA,NA,NA
1,5,Lea,Harris,51,Retired,"Midlothian, Scotland",NA,NA,NA,NA
1,5,Louise,Brimelow,44,Police Officer,Manchester,NA,NA,NA,NA
1,5,Mark,Whithers,48,Bus Driver,South Wales,NA,NA,NA,NA
1,6,Miranda,Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",NA,Series Runner up,Lemon Cupcake,Eliminated after signature
1,6,Ruth,Clemens,31,Retail manager/Housewife,"Poynton, Cheshire",NA,Series Runner up,"Mint, Ginger and Blackberry Cake",NA
1,6,Edd,Kimber,24,Debt collector for Yorkshire Bank,Bradford,NA,Series Winner,Cinnamon and Banana Cake,NA
1,6,Annetha,Mills,30,Midwife,Essex,NA,NA,NA,NA
1,6,David,Chambers,31,Entrepreneur,Milton Keynes,NA,NA,NA,NA
1,6,Jasminder,Randhawa,45,Assistant Credit Control Manager,Birmingham,NA,NA,NA,NA
1,6,Jonathan,Shepherd,25,Research Analyst,St Albans,NA,NA,NA,NA
1,6,Lea,Harris,51,Retired,"Midlothian, Scotland",NA,NA,NA,NA
1,6,Louise,Brimelow,44,Police Officer,Manchester,NA,NA,NA,NA
1,6,Mark,Whithers,48,Bus Driver,South Wales,NA,NA,NA,NA
2,1,Ben,Frazer,31,Graphic Designer,Northampton,2,stayed in,Rhubarb and Custard CupcakesAfter Dinner Cupcakes,Vanilla Sponge with White Chocolate and Raspberry Buttercream
2,1,Ian,Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",10,stayed in,Apple and Cinnamon Cupcakes,UNKNOWN
2,1,Janet,Basu,63,Teacher of Modern Languages,"Formby, Liverpool",8,stayed in,Raspberry and Cream Cupcakes,Chocolate Marble Cakewith Dark and White Chocolate Truffles
2,1,Jason,White,19,Civil Engineering Student,Croydon,6,stayed in,Lemon Meringue CupcakesApple and Cinnamon Cupcakes,UNKNOWN
2,1,Joanne,NA,NA,NA,NA,11,stayed in,NA,NA
2,1,Mary-Anne,Boermans,45,Housewife,"Kidderminster, Worcestershire",4,stayed in,Banoffee Cupcakes,Chocolate and Raspberry Opera cake
2,1,Robert,Billington,25,Photographer,London,3,stayed in,Blackberry and Vanilla Cupcakeswith Liquorice Frosting,Genoise Layered Mousse Cakewith Chocolate Ganache
2,1,Simon,Blackwell,31,Rugby Coach,Norfolk,9,stayed in,Guinness and Chocolate Cupcakes,Two-Tiered Chocolate Courgette Cake
2,1,Urvashi,Roe,40,Head of Marketing,"Enfield, London",7,stayed in,Cherry Blossom CupcakesJapanese Lime Cupcakes,UNKNOWN
2,1,Yasmin,Limbert,43,Childminder,"West Kirby, The Wirral",5,stayed in,Cardamom and Pomegranate Cupcakes,UNKNOWN
2,1,Keith,Batsford,31,House husband,"Arlesey, Bedfordshire",12,Eliminated,Earl Grey Cupcakes,Chocolate and Sour Cream Cake
2,1,Holly,Bell,31,Advertising executive,Leicester,1,Star Baker,Cherry Bakewell Inspired CupcakesGinger Cupcakes with Fig Truffle,UNKNOWN
2,2,Ben,Frazer,31,Graphic Designer,Northampton,1,stayed in,"Chorizo, Pepper and Gruyere Quiche",Lemon Meringue Tarts
2,2,Holly,Bell,31,Advertising executive,Leicester,4,stayed in,Pesto Quiche,Milk Chocolate and Pistachio TartsTrifle Tarts
2,2,Ian,Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",2,stayed in,"Stilton, Spinach and New Potato Quichewith Paprika and Walnut Pastry",UNKNOWN
2,2,Janet,Basu,63,Teacher of Modern Languages,"Formby, Liverpool",8,stayed in,Quiche Printanière,Red Fruit TartsChocolate and Cherry Tarts
2,2,Joanne,NA,NA,NA,NA,10,stayed in,NA,NA
2,2,Mary-Anne,Boermans,45,Housewife,"Kidderminster, Worcestershire",9,stayed in,"Roasted Cauliflower, Cheese andCaramelised Onion Quiche",Butterscotch Brulée Tarts in Pecan PastryApple Rose Tarts
2,2,Robert,Billington,25,Photographer,London,5,stayed in,Smoked Bacon and Kale Quiche,"Chocolate, Fennel and Ginger TartAlmond, Creme Patissiere and Poached Pear Tart"
2,2,Urvashi,Roe,40,Head of Marketing,"Enfield, London",7,stayed in,"Crab, Coriander and Coconut Quiche",Strawberry and Basil TartsElderflower and Honeycomb Tarts
2,2,Yasmin,Limbert,43,Childminder,"West Kirby, The Wirral",6,stayed in,Smoked Haddock and Watercress Quiche,Chocolate and Orange with Cinnamon-Orange Pastry TartsBlueberry and Hazelnut with Hazelnut Pastry Tarts
2,2,Simon,Blackwell,31,Rugby Coach,Norfolk,11,Eliminated,Smoked Haddock and Watercress Quiche,"Passion Fruit and Ricotta TartsSalted Chocolate, Stem Ginger and Mascarpone Cream Tarts"
2,2,Jason,White,19,Civil Engineering Student,Croydon,3,Star Baker,Salmon and Pak Choi Quiche,Mint Chocolate Tarts Blueberry Bakewell Tarts
2,2,Keith,Batsford,31,House husband,"Arlesey, Bedfordshire",NA,NA,NA,NA
2,3,Ben,Frazer,31,Graphic Designer,Northampton,3,stayed in,"Walnut, Raisin and Rosemary Loaf",UNKNOWN
2,3,Holly,Bell,31,Advertising executive,Leicester,6,stayed in,Picnic Loaf,Stilton and Walnut Rolls
2,3,Janet,Basu,63,Teacher of Modern Languages,"Formby, Liverpool",8,stayed in,Zupfe Loaf with Gruyère Cheese,Apple and Walnut Granary Rolls Red Onion Cottage Rolls
2,3,Jason,White,19,Civil Engineering Student,Croydon,7,stayed in,Cheese and Onion Tear and Share Loaf,UNKNOWN
2,3,Joanne,NA,NA,NA,NA,1,stayed in,NA,NA
2,3,Mary-Anne,Boermans,45,Housewife,"Kidderminster, Worcestershire",5,stayed in,Ploughman's Loaf,Herb and Walnut BreadsChocolate and Chilli Buns
2,3,Robert,Billington,25,Photographer,London,4,stayed in,Rye and Coriander Seed Loaf,Blueberry Brioche RollsLemon and Poppy Seed Rolls
2,3,Ian,Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",10,Eliminated,"Courgette, Caerphilly Cheese and Thyme Loaf",Walnut and Raisin RollsCracked Wheat Logs
2,3,Urvashi,Roe,40,Head of Marketing,"Enfield, London",9,Eliminated,Salt and Peppercorn Loaf,Chilli and Halloumi RollsLemon and Coriander Mini Loaves
2,3,Yasmin,Limbert,43,Childminder,"West Kirby, The Wirral",2,Star Baker,Egyptian Dukkah Loaf with Mixed Spices,"Pesto Bread
Sweet Coconut Rolls"
2,3,Keith,Batsford,31,House husband,"Arlesey, Bedfordshire",NA,NA,NA,NA
2,3,Simon,Blackwell,31,Rugby Coach,Norfolk,NA,NA,NA,NA
2,4,Janet,Basu,63,Teacher of Modern Languages,"Formby, Liverpool",4,stayed in,Christmas Marzipan Biscuits,"Raspberry Macarons
Blackcurrant Macarons
Almond Macarons"
2,4,Joanne,NA,NA,NA,NA,8,stayed in,NA,NA
2,4,Mary-Anne,Boermans,45,Housewife,"Kidderminster, Worcestershire",2,stayed in,Melting Moments,Blackcurrant and Mint MacaronsGooseberry and Elderflower MacaronsHazelnut Macarons
2,4,Robert,Billington,25,Photographer,London,7,stayed in,Chocolate and Ginger Oat Biscuits,Strawberry and Lime MacaronsLemon MacaronsChocolate and Cardamom Macarons
2,4,Yasmin,Limbert,43,Childminder,"West Kirby, The Wirral",6,stayed in,Chocolate Chip and Pistachio Biscotti,Chocolate and Lime MacaronsCoffee and Walnut MacaronsPineapple and Coconut Macarons
2,4,Ben,Frazer,31,Graphic Designer,Northampton,5,Eliminated,Stem Ginger Nuts,Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons
2,4,Holly,Bell,31,Advertising executive,Leicester,3,Star Baker,Strawberry and Custard Melts,"'Chocolate bars of my youth'
(Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)"
2,4,Jason,White,19,Civil Engineering Student,Croydon,1,Star Baker,Lebkuchen,"Mocktail Macarons
(Mojito, Cranberry Cooler, and Pina Colada)"
2,4,Ian,Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",NA,NA,NA,NA
2,4,Keith,Batsford,31,House husband,"Arlesey, Bedfordshire",NA,NA,NA,NA
2,4,Simon,Blackwell,31,Rugby Coach,Norfolk,NA,NA,NA,NA
2,4,Urvashi,Roe,40,Head of Marketing,"Enfield, London",NA,NA,NA,NA
2,5,Holly,Bell,31,Advertising executive,Leicester,4,stayed in,"Stilton, Potato and Caramelised Onion Pie",Lime Meringue Pie
2,5,Joanne,NA,NA,NA,NA,6,stayed in,NA,NA
2,5,Mary-Anne,Boermans,45,Housewife,"Kidderminster, Worcestershire",2,stayed in,Chicken and Bacon Pie,Midnight Meringue
2,5,Yasmin,Limbert,43,Childminder,"West Kirby, The Wirral",5,stayed in,Family Fish Pie,Peach and Raspberry Meringue Pie
2,5,Jason,White,19,Civil Engineering Student,Croydon,7,Eliminated,Brown Down Chicken Pie,Plum Meringue Pie
2,5,Robert,Billington,25,Photographer,London,3,Eliminated,Chicken and Mushroom Pie,Rhubarb and Custard Meringue Pie
2,5,Janet,Basu,63,Teacher of Modern Languages,"Formby, Liverpool",1,Star Baker,Chicken and Chestnut Pie,Rhubarb Meringue Pie
2,5,Ben,Frazer,31,Graphic Designer,Northampton,NA,NA,NA,NA
2,5,Ian,Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",NA,NA,NA,NA
2,5,Keith,Batsford,31,House husband,"Arlesey, Bedfordshire",NA,NA,NA,NA
2,5,Simon,Blackwell,31,Rugby Coach,Norfolk,NA,NA,NA,NA
2,5,Urvashi,Roe,40,Head of Marketing,"Enfield, London",NA,NA,NA,NA
2,6,Holly,Bell,31,Advertising executive,Leicester,3,stayed in,Father Christmas' Baked Cheesecake,Hansel and Gretel's Croquembouche
2,6,Janet,Basu,63,Teacher of Modern Languages,"Formby, Liverpool",5,stayed in,Rhubarb and Ginger Baked Cheesecake,Orange and Nougatine Croquembouche
2,6,Mary-Anne,Boermans,45,Housewife,"Kidderminster, Worcestershire",4,stayed in,Tutti Fruitti Curd Baked Cheesecake,Orange and Praline Croquembouche with Cardamom Caramel
2,6,Yasmin,Limbert,43,Childminder,"West Kirby, The Wirral",2,Eliminated,Baked Amaretto Cheesecake,Rose Croquembouche
2,6,Joanne,NA,NA,NA,NA,1,Star Baker,NA,NA
2,6,Ben,Frazer,31,Graphic Designer,Northampton,NA,NA,NA,NA
2,6,Ian,Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",NA,NA,NA,NA
2,6,Jason,White,19,Civil Engineering Student,Croydon,NA,NA,NA,NA
2,6,Keith,Batsford,31,House husband,"Arlesey, Bedfordshire",NA,NA,NA,NA
2,6,Robert,Billington,25,Photographer,London,NA,NA,NA,NA
2,6,Simon,Blackwell,31,Rugby Coach,Norfolk,NA,NA,NA,NA
2,6,Urvashi,Roe,40,Head of Marketing,"Enfield, London",NA,NA,NA,NA
2,7,Holly,Bell,31,Advertising executive,Leicester,1,stayed in,"White Chocolate, Hazelnut and Raspberry Genoise Mousse Cake","Apricot, Macadamia and White Chocolate PinwheelsAlmond CroissantsApple, Raisin and Cinnamon Plaits"
2,7,Joanne,NA,NA,NA,NA,3,stayed in,NA,NA
2,7,Mary-Anne,Boermans,45,Housewife,"Kidderminster, Worcestershire",2,stayed in,Chocolate and Orange Mousse Cake,Raspberry Rose DanishesPraline SpiralsAlsatian Plaited Danishes
2,7,Janet,Basu,63,Teacher of Modern Languages,"Formby, Liverpool",4,Eliminated,Chocolate Amaretto Mousse Cake,Pain Aux RaisinPlain CroissantPain Au Chocolat
2,7,Ben,Frazer,31,Graphic Designer,Northampton,NA,NA,NA,NA
2,7,Ian,Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",NA,NA,NA,NA
2,7,Jason,White,19,Civil Engineering Student,Croydon,NA,NA,NA,NA
2,7,Keith,Batsford,31,House husband,"Arlesey, Bedfordshire",NA,NA,NA,NA
2,7,Robert,Billington,25,Photographer,London,NA,NA,NA,NA
2,7,Simon,Blackwell,31,Rugby Coach,Norfolk,NA,NA,NA,NA
2,7,Urvashi,Roe,40,Head of Marketing,"Enfield, London",NA,NA,NA,NA
2,7,Yasmin,Limbert,43,Childminder,"West Kirby, The Wirral",NA,NA,NA,NA
2,8,Holly,Bell,31,Advertising executive,Leicester,2,Series Runner up,Banoffee Inspired Mille Feuille,Strawberry and Cream Meringue NestGooseberry and Elderflower 'Bakewell' TartsNeapolitan Ice-Cream Sandwich
2,8,Mary-Anne,Boermans,45,Housewife,"Kidderminster, Worcestershire",3,Series Runner up,Lemon and Ginger Mille Feuille,Fruit Tarts with Elderflower CustardStrawberry and Rhubarb CheesecakesBlack Fruit Meringue with Everlasting Syllabub
2,8,Joanne,NA,NA,NA,NA,1,Series Winner,NA,NA
2,8,Ben,Frazer,31,Graphic Designer,Northampton,NA,NA,NA,NA
2,8,Ian,Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",NA,NA,NA,NA
2,8,Janet,Basu,63,Teacher of Modern Languages,"Formby, Liverpool",NA,NA,NA,NA
2,8,Jason,White,19,Civil Engineering Student,Croydon,NA,NA,NA,NA
2,8,Keith,Batsford,31,House husband,"Arlesey, Bedfordshire",NA,NA,NA,NA
2,8,Robert,Billington,25,Photographer,London,NA,NA,NA,NA
2,8,Simon,Blackwell,31,Rugby Coach,Norfolk,NA,NA,NA,NA
2,8,Urvashi,Roe,40,Head of Marketing,"Enfield, London",NA,NA,NA,NA
2,8,Yasmin,Limbert,43,Childminder,"West Kirby, The Wirral",NA,NA,NA,NA
3,1,Brendan,Lynch,63,Recruitment consultant,Sutton Coldfield,10,stayed in,"Plum, Sour Cherry & Walnut",UNKNOWN
3,1,Cathryn,Dresser,27,Shop assistant,"Pease Pottage, West Sussex",5,stayed in,"Apple, Hazelnut and Calvados",Hidden Cupcake Cake
3,1,Danny,Bryden,45,Intensive care consultant,Sheffield,7,stayed in,"Plum, Ginger & Orange",UNKNOWN
3,1,James,Morton,21,Medical student,"Hillswick, Shetland Islands",2,stayed in,"Parsnip, Pear, and Pecan","""Simmer Dim"" Sunset Cake"
3,1,John,Whaite,22,Law student,Wigan,11,stayed in,"Toffee Apple, Orange & Cranberry",Hidden Pink Hearts Cake
3,1,Manisha,Parmar,27,Nursery nurse,Leicester,6,stayed in,"Vanilla, Peach and Raspberry",White Chocolate Cake with a Red Velvet and White Chocolate Mousse Heart
3,1,Peter,Maloney,43,Sales manager,"Windsor, Berkshire",3,stayed in,"Pear, Muscat & Chocolate",Jubilee Cake
3,1,Ryan,Chong,38,Photographer,Bristol,8,stayed in,Kumquat and Orange Polenta,Hidden Flowerbed Mousse Cake
3,1,Sarah-Jane,Willis,28,Vicar's wife,"Bewbush, West Sussex",1,stayed in,"Pear, Chocolate and Hazelnut",Hidden Crown Cake
3,1,Stuart,Marston-Smith,26,PE teacher,"Lichfield, Staffordshire",9,stayed in,Tomato and Ginger,Lemon and Pistachio Union Flag Cake
3,1,Natasha,Stringer,36,Midwife,"Tamworth, Staffordshire",12,Eliminated,Pineapple & Passion Fruit,Mother's Day Layered Rose Cake
3,1,Victoria,Chester,50,CEO of the charity Plantlife,Somerset,4,Star Baker,Pear and Pecan,Blackbird Pie Cake
3,2,Brendan,Lynch,63,Recruitment consultant,Sutton Coldfield,4,stayed in,Middle Eastern Taboon BreadIndian Rotis,"Chocolate and Vanilla Bagels
Cumin and Gruyere Bagels"
3,2,Cathryn,Dresser,27,Shop assistant,"Pease Pottage, West Sussex",8,stayed in,"Spiced Mango NaanLime, Coriander and Chilli Tortillas","Cranberry and Orange Bagels
Chipotle, Chili, and Smoked Cheddar Bagels"
3,2,Danny,Bryden,45,Intensive care consultant,Sheffield,3,stayed in,Lime Coriander and Coconut TortillasZaatar Naan with Dukkah,UNKNOWN
3,2,James,Morton,21,Medical student,"Hillswick, Shetland Islands",2,stayed in,"Tomato, Garlic, and Parmesan FlatbreadsTattie Scones","Orange, Mint and Chocolate Bagels
'Millers' Sourdough Bagels"
3,2,Manisha,Parmar,27,Nursery nurse,Leicester,6,stayed in,Indian FlatbreadsItalian Flatbreads,UNKNOWN
3,2,Ryan,Chong,38,Photographer,Bristol,5,stayed in,Shanghai Spring Onion FlatbreadsGarlic and Coriander Naan,"Cinnamon and Date Bagels
Tarragon and Rosemary Bagels"
3,2,Sarah-Jane,Willis,28,Vicar's wife,"Bewbush, West Sussex",10,stayed in,Toasted Coconut and Lime RotisOatcakes,UNKNOWN
3,2,Stuart,Marston-Smith,26,PE teacher,"Lichfield, Staffordshire",9,stayed in,Bombay BreadChorizo and Spring Onion Naan,"Cinnamon and Cranberry Bagels
Tomato and Thyme Bagels"
3,2,Victoria,Chester,50,CEO of the charity Plantlife,Somerset,7,stayed in,Coriander and Lemon NaanGarlic and Parsnip Chapatis,"Saffron and Golden Raisin Bagels
Porcini Bagels"
3,2,Peter,Maloney,43,Sales manager,"Windsor, Berkshire",11,Eliminated,Fennel and Nigella Seed NaanBannock Bread,"Rosemary and Sea Salt Bagels
Apple and Cinnamon Bagels"
3,2,John,Whaite,22,Law student,Wigan,1,Star Baker,"Coriander and Chilli RotisGarlic, Pomegranate and Potato Pitas","Fig, Walnut and Gruyere Bagels
Blueberry and White Chocolate Bagels"
3,2,Natasha,Stringer,36,Midwife,"Tamworth, Staffordshire",NA,NA,NA,NA
3,3,Brendan,Lynch,63,Recruitment consultant,Sutton Coldfield,9,stayed in,Apple and Ginger Tarte Tatin,"Blackberry, Nectarine and Dragon Fruit Tart"
3,3,Cathryn,Dresser,27,Shop assistant,"Pease Pottage, West Sussex",3,stayed in,"Plum, Cherry and Five Spice Tarte Tatin","Raspberry, Pistachio and Lemon Tart"
3,3,Danny,Bryden,45,Intensive care consultant,Sheffield,2,stayed in,Savoury Pear and Roquefort Tarte Tatin,"Pineapple, Coconut and Frangipane Tart"
3,3,John,Whaite,22,Law student,Wigan,6,stayed in,Apple and Vanilla Tarte Tatin with Walnut Praline,"Berries, Grapes, Pomegranate, and Dragon Fruit Tart"
3,3,Manisha,Parmar,27,Nursery nurse,Leicester,10,stayed in,"Cinnamon, Apple and Pear Tarte Tatin",Rum and Tropical Fruit Tart
3,3,Ryan,Chong,38,Photographer,Bristol,5,stayed in,Spiced Pear Tarte Tatin,UNKNOWN
3,3,Sarah-Jane,Willis,28,Vicar's wife,"Bewbush, West Sussex",8,stayed in,Caramelised Banana Tarte Tatin,French Apple Tart with Blackberry and Cassis Jam
3,3,Stuart,Marston-Smith,26,PE teacher,"Lichfield, Staffordshire",7,stayed in,Pear and Almond Tarte Tatin,Raspberry Triple Chocolate Layered Tart
3,3,Victoria,Chester,50,CEO of the charity Plantlife,Somerset,4,Eliminated,"Fig, Walnut and Pink Peppercorn Tarte Tatin",Tropical Fruit Tart with Black Pepper Crust
3,3,James,Morton,21,Medical student,"Hillswick, Shetland Islands",1,Star Baker,Apple and Lavender Tarte Tatin,"Rose, Lychee and Raspberry Fruit Tart"
3,3,Natasha,Stringer,36,Midwife,"Tamworth, Staffordshire",NA,NA,NA,NA
3,3,Peter,Maloney,43,Sales manager,"Windsor, Berkshire",NA,NA,NA,NA
3,4,Cathryn,Dresser,27,Shop assistant,"Pease Pottage, West Sussex",3,stayed in,"White Chocolate, Macadamia and Coffee Torte","Gooseberry, Almond and Honey Meringue"
3,4,Danny,Bryden,45,Intensive care consultant,Sheffield,2,stayed in,"Blackberry, White Chocolate, Lemon and Elderflower Torte","'Monte Bianco' Chestnut, Chocolate and Coffee Dacquoise"
3,4,James,Morton,21,Medical student,"Hillswick, Shetland Islands",5,stayed in,"Hazelnut, Chocolate and Passionfruit Torte","Fig, Chestnut, Cherry and Chocolate Layered Meringue"
3,4,John,Whaite,22,Law student,Wigan,6,stayed in,'Torte Noir' Black Forest Torte with Boozy Cream,Elderflower and Bramble Berry Pavlova
3,4,Manisha,Parmar,27,Nursery nurse,Leicester,9,stayed in,"Almond, Chocolate and Cherry Torte",Tiramisu Layered Meringue Dessert
